applicant_income,coapplicant_income,loan_amount,loan_term_months,credit_history,dependents,employment_status,property_area,approved
2779.0,2017.0,134000.0,360,0,3,self_employed,rural,0
2212.0,0.0,77000.0,300,1,1,salaried,semiurban,0
9194.0,4102.0,120000.0,360,1,0,self_employed,rural,1
15697.0,924.0,117000.0,360,1,0,self_employed,semiurban,0
3685.0,964.0,47000.0,240,0,3,salaried,urban,1
2416.0,976.0,113000.0,300,1,1,unemployed,rural,0
1528.0,0.0,138000.0,180,0,0,self_employed,semiurban,0
4138.0,0.0,145000.0,360,1,0,self_employed,urban,0
3991.0,0.0,115000.0,360,0,0,salaried,urban,0
3376.0,0.0,45000.0,240,1,0,salaried,semiurban,0
5222.0,1152.0,194000.0,360,0,0,salaried,urban,0
5696.0,3684.0,131000.0,120,1,0,unemployed,urban,0
5495.0,1917.0,63000.0,360,1,0,self_employed,urban,1
3992.0,4204.0,77000.0,360,0,0,self_employed,semiurban,1
2695.0,0.0,121000.0,360,1,0,salaried,urban,0
6522.0,1965.0,148000.0,360,1,0,salaried,semiurban,1
4704.0,1348.0,88000.0,180,0,2,salaried,urban,0
7289.0,1988.0,158000.0,360,1,0,salaried,urban,1
6940.0,3290.0,49000.0,360,0,2,self_employed,semiurban,0
2296.0,0.0,68000.0,180,1,2,self_employed,urban,0
2282.0,2872.0,43000.0,360,0,3,self_employed,semiurban,0
3204.0,1131.0,73000.0,120,1,0,salaried,urban,0
2757.0,3399.0,215000.0,360,1,0,unemployed,urban,0
6820.0,0.0,275000.0,240,0,1,self_employed,urban,0
5573.0,3627.0,121000.0,360,1,0,self_employed,semiurban,1
8100.0,0.0,82000.0,180,1,0,salaried,urban,1
5700.0,5795.0,99000.0,180,1,0,salaried,rural,1
5189.0,891.0,135000.0,360,1,1,salaried,urban,0
8517.0,0.0,54000.0,360,1,2,salaried,semiurban,1
5913.0,1298.0,84000.0,240,1,0,self_employed,semiurban,1
4837.0,758.0,208000.0,360,1,3,self_employed,urban,0
9801.0,0.0,68000.0,360,0,2,unemployed,semiurban,0
4952.0,3087.0,78000.0,360,1,0,salaried,urban,1
4015.0,1992.0,110000.0,240,1,0,salaried,semiurban,0
3075.0,0.0,124000.0,360,1,0,salaried,urban,0
6644.0,1524.0,82000.0,360,1,2,salaried,rural,1
8678.0,1315.0,113000.0,300,1,1,salaried,rural,1
4558.0,6344.0,143000.0,360,1,1,salaried,urban,1
8991.0,0.0,264000.0,360,0,1,salaried,semiurban,0
1746.0,792.0,103000.0,300,1,0,self_employed,semiurban,0
4547.0,3489.0,107000.0,300,1,3,salaried,urban,0
4582.0,0.0,217000.0,300,1,3,self_employed,rural,0
3250.0,0.0,85000.0,360,0,1,self_employed,semiurban,0
15397.0,0.0,60000.0,360,1,0,salaried,rural,1
4523.0,3613.0,122000.0,360,1,0,self_employed,rural,1
3813.0,4262.0,177000.0,360,0,0,self_employed,urban,0
4736.0,1387.0,128000.0,300,1,0,salaried,semiurban,1
1717.0,0.0,104000.0,120,1,1,salaried,semiurban,0
3197.0,3358.0,57000.0,240,1,2,self_employed,urban,1
7644.0,0.0,106000.0,180,1,3,salaried,urban,1
3414.0,744.0,190000.0,180,0,0,salaried,rural,0
3089.0,0.0,63000.0,360,1,0,salaried,urban,0
8998.0,0.0,98000.0,180,0,0,self_employed,semiurban,1
9137.0,3031.0,92000.0,180,1,3,self_employed,rural,1
6054.0,0.0,80000.0,300,0,2,self_employed,urban,0
3724.0,0.0,122000.0,240,0,0,self_employed,semiurban,0
4148.0,612.0,133000.0,180,1,1,salaried,rural,0
3127.0,926.0,133000.0,180,1,1,salaried,semiurban,1
2843.0,0.0,70000.0,240,1,0,salaried,urban,1
2773.0,1248.0,52000.0,360,0,0,salaried,urban,0
3432.0,2170.0,123000.0,360,1,0,self_employed,rural,1
2787.0,3006.0,87000.0,360,1,0,salaried,urban,1
2139.0,0.0,250000.0,360,0,1,salaried,semiurban,0
5217.0,1970.0,255000.0,360,0,0,self_employed,urban,0
5257.0,0.0,267000.0,360,1,1,self_employed,semiurban,1
10942.0,1118.0,71000.0,360,0,1,salaried,rural,1
3347.0,619.0,141000.0,360,1,1,salaried,semiurban,1
5421.0,0.0,161000.0,360,1,3,salaried,rural,0
5466.0,653.0,153000.0,300,0,0,salaried,urban,0
4118.0,2019.0,93000.0,300,1,1,salaried,semiurban,1
6783.0,1157.0,194000.0,180,1,0,salaried,rural,1
6889.0,0.0,109000.0,360,0,1,salaried,semiurban,1
5507.0,6736.0,116000.0,180,1,1,self_employed,urban,1
4114.0,1372.0,55000.0,360,1,0,salaried,rural,1
3910.0,635.0,146000.0,360,1,0,salaried,urban,1
2359.0,3747.0,97000.0,360,1,1,salaried,semiurban,0
3125.0,1200.0,134000.0,180,1,1,salaried,rural,0
3425.0,4286.0,121000.0,360,0,1,self_employed,urban,0
2665.0,1196.0,118000.0,300,1,0,salaried,urban,1
5825.0,1368.0,107000.0,360,1,1,self_employed,urban,1
8504.0,0.0,155000.0,360,1,1,self_employed,urban,1
2969.0,0.0,100000.0,360,1,0,salaried,urban,0
5387.0,3422.0,57000.0,360,1,1,self_employed,semiurban,1
2788.0,1877.0,141000.0,360,0,1,salaried,urban,0
4014.0,2893.0,76000.0,360,0,2,salaried,semiurban,0
3310.0,0.0,60000.0,180,1,0,salaried,urban,1
6317.0,2299.0,69000.0,240,0,0,self_employed,urban,0
3330.0,1808.0,124000.0,120,1,3,salaried,urban,1
7753.0,727.0,104000.0,360,1,2,salaried,semiurban,1
4135.0,3039.0,42000.0,360,1,0,salaried,semiurban,1
3379.0,2058.0,92000.0,360,1,2,salaried,urban,1
2498.0,1496.0,185000.0,360,0,0,self_employed,rural,0
5306.0,0.0,89000.0,360,1,2,salaried,semiurban,1
7314.0,0.0,101000.0,240,0,0,salaried,urban,0
5360.0,0.0,174000.0,180,1,0,salaried,rural,0
14320.0,0.0,156000.0,360,1,3,self_employed,urban,1
9556.0,2496.0,173000.0,360,1,0,salaried,urban,1
4009.0,0.0,31000.0,360,0,2,salaried,semiurban,0
3988.0,0.0,238000.0,240,1,0,salaried,urban,0
5913.0,0.0,145000.0,360,1,0,unemployed,urban,1
3075.0,0.0,330000.0,360,1,3,self_employed,semiurban,0
8376.0,3208.0,77000.0,360,1,1,self_employed,urban,1
5602.0,1740.0,49000.0,240,1,2,salaried,rural,1
5315.0,431.0,109000.0,360,0,2,unemployed,rural,0
6591.0,679.0,96000.0,360,1,0,self_employed,semiurban,1
11064.0,8404.0,146000.0,360,1,0,self_employed,semiurban,1
5092.0,930.0,177000.0,360,1,0,salaried,semiurban,0
4418.0,5426.0,105000.0,360,1,1,salaried,rural,1
9940.0,0.0,98000.0,360,1,0,salaried,urban,1
7584.0,0.0,138000.0,360,1,0,self_employed,urban,0
3982.0,0.0,97000.0,360,1,2,salaried,semiurban,1
4687.0,1125.0,94000.0,180,1,0,salaried,semiurban,1
5155.0,0.0,174000.0,180,1,1,salaried,urban,0
5602.0,0.0,192000.0,360,1,0,salaried,semiurban,1
2373.0,0.0,178000.0,120,1,0,salaried,urban,0
2162.0,0.0,101000.0,180,0,0,self_employed,rural,0
3000.0,3169.0,42000.0,360,0,0,self_employed,urban,1
2886.0,6034.0,102000.0,360,1,1,self_employed,urban,1
3388.0,0.0,78000.0,120,1,0,salaried,urban,0
6421.0,0.0,103000.0,300,1,2,self_employed,urban,1
4296.0,1302.0,81000.0,360,0,2,salaried,urban,0
5157.0,3411.0,108000.0,360,1,0,self_employed,urban,1
2535.0,2814.0,68000.0,360,1,2,salaried,urban,1
3711.0,946.0,61000.0,360,1,3,salaried,urban,1
6271.0,0.0,189000.0,240,1,0,salaried,urban,0
6295.0,0.0,71000.0,360,1,3,salaried,urban,1
3254.0,1100.0,109000.0,180,1,0,salaried,urban,0
5069.0,2567.0,168000.0,360,0,1,salaried,urban,0
14037.0,2214.0,165000.0,240,0,0,salaried,urban,0
4634.0,1899.0,156000.0,120,1,2,salaried,urban,0
3306.0,1905.0,125000.0,180,1,2,salaried,urban,0
4286.0,0.0,151000.0,360,0,3,unemployed,semiurban,0
4896.0,0.0,202000.0,240,0,3,salaried,rural,0
4335.0,2204.0,132000.0,240,0,0,salaried,rural,0
4602.0,0.0,48000.0,180,0,1,salaried,semiurban,0
2272.0,0.0,86000.0,360,1,0,salaried,semiurban,1
2889.0,745.0,149000.0,360,1,0,unemployed,urban,0
4339.0,0.0,82000.0,360,1,0,salaried,rural,1
4304.0,0.0,226000.0,360,1,3,self_employed,semiurban,0
3522.0,0.0,106000.0,360,1,1,salaried,rural,1
4279.0,793.0,113000.0,360,1,0,salaried,rural,1
4820.0,2692.0,181000.0,120,1,3,salaried,semiurban,0
7293.0,2378.0,100000.0,360,1,2,unemployed,semiurban,1
4449.0,2524.0,118000.0,360,1,0,salaried,rural,0
5708.0,4748.0,164000.0,240,1,0,salaried,urban,1
3566.0,0.0,56000.0,360,1,1,salaried,rural,0
6223.0,1457.0,96000.0,240,1,1,salaried,urban,1
5641.0,2289.0,158000.0,360,1,0,salaried,rural,1
7208.0,0.0,112000.0,360,1,1,salaried,rural,0
6679.0,2142.0,211000.0,360,1,0,salaried,urban,1
6275.0,1146.0,54000.0,300,1,1,self_employed,semiurban,1
4451.0,0.0,51000.0,360,0,0,self_employed,urban,0
5284.0,614.0,154000.0,360,1,0,salaried,rural,1
7957.0,2653.0,161000.0,240,1,0,salaried,rural,0
3374.0,0.0,100000.0,360,0,1,salaried,semiurban,0
3415.0,2217.0,131000.0,360,1,0,self_employed,rural,0
5119.0,847.0,153000.0,360,0,0,salaried,urban,0
5754.0,1102.0,76000.0,360,1,0,self_employed,urban,1
3096.0,0.0,79000.0,120,1,3,self_employed,urban,0
4504.0,3016.0,119000.0,240,1,0,self_employed,urban,0
4460.0,0.0,164000.0,180,1,0,salaried,semiurban,0
1544.0,5954.0,65000.0,240,0,0,self_employed,urban,0
4189.0,0.0,100000.0,360,1,1,salaried,urban,1
4321.0,5706.0,98000.0,360,1,0,salaried,semiurban,1
4315.0,716.0,132000.0,360,1,0,salaried,rural,1
9490.0,3369.0,109000.0,360,0,2,salaried,urban,0
2546.0,0.0,85000.0,300,1,2,self_employed,rural,0
3095.0,1042.0,191000.0,300,1,1,self_employed,semiurban,0
1266.0,3072.0,86000.0,360,0,0,salaried,urban,0
3676.0,3872.0,96000.0,360,1,3,unemployed,semiurban,1
3836.0,3792.0,53000.0,300,1,3,salaried,urban,1
3623.0,0.0,79000.0,360,1,1,salaried,urban,1
8134.0,2192.0,138000.0,360,1,2,salaried,semiurban,1
7189.0,2889.0,126000.0,240,0,2,unemployed,urban,0
4861.0,2472.0,143000.0,360,1,3,salaried,urban,1
3884.0,2919.0,140000.0,360,0,0,salaried,semiurban,1
7809.0,2305.0,279000.0,300,1,3,salaried,urban,0
4629.0,3605.0,78000.0,360,1,1,unemployed,rural,1
3105.0,640.0,53000.0,360,1,1,self_employed,urban,0
1982.0,0.0,68000.0,360,1,0,self_employed,rural,1
3749.0,758.0,79000.0,360,1,0,self_employed,rural,1
6818.0,0.0,70000.0,360,1,2,self_employed,rural,0
14593.0,6307.0,114000.0,360,1,1,salaried,rural,1
4821.0,1434.0,192000.0,180,0,0,salaried,urban,0
3189.0,2184.0,218000.0,300,1,1,self_employed,semiurban,0
2585.0,3393.0,137000.0,300,1,0,self_employed,urban,1
6161.0,0.0,286000.0,240,1,0,salaried,rural,0
1935.0,0.0,93000.0,360,1,1,salaried,semiurban,0
6156.0,0.0,52000.0,180,1,1,self_employed,urban,1
7036.0,0.0,175000.0,240,0,0,salaried,rural,0
5815.0,1009.0,48000.0,360,1,0,unemployed,urban,1
4189.0,4318.0,78000.0,240,1,0,salaried,semiurban,1
6201.0,0.0,138000.0,360,1,1,salaried,semiurban,0
5092.0,2597.0,104000.0,360,1,3,self_employed,urban,1
3168.0,3705.0,100000.0,300,1,2,salaried,semiurban,0
11792.0,0.0,64000.0,180,1,1,salaried,rural,1
3921.0,0.0,109000.0,360,1,0,salaried,urban,1
6890.0,0.0,171000.0,180,1,0,self_employed,semiurban,1
1395.0,2167.0,110000.0,360,0,2,salaried,urban,0
8851.0,0.0,75000.0,360,1,1,salaried,semiurban,1
9744.0,4839.0,62000.0,360,1,0,self_employed,urban,1
4745.0,5797.0,76000.0,360,1,1,unemployed,rural,1
6182.0,5250.0,130000.0,360,1,1,salaried,rural,1
6181.0,0.0,127000.0,180,1,0,salaried,urban,1
